detector_a_name,detector_b_name,estimation_label,repetition,coincidences,timestamp
9,12,DB_H,0,2,2025-05-23--16h-55m-14s-768967
9,11,SB,0,0,2025-05-23--16h-55m-14s-768967
9,10,SB,0,0,2025-05-23--16h-55m-14s-768967
11,12,SB,0,0,2025-05-23--16h-55m-14s-768967
10,12,SB,0,0,2025-05-23--16h-55m-14s-768967
10,11,DB_V,0,0,2025-05-23--16h-55m-14s-768967
1,9,C,0,0,2025-05-23--16h-55m-14s-768967
1,12,C,0,0,2025-05-23--16h-55m-14s-768967
1,11,C,0,0,2025-05-23--16h-55m-14s-768967
1,10,C,0,0,2025-05-23--16h-55m-14s-768967
1,4,DB_H,0,1,2025-05-23--16h-55m-14s-768967
1,7,SB,0,0,2025-05-23--16h-55m-14s-768967
1,2,SB,0,0,2025-05-23--16h-55m-14s-768967
4,9,C,0,0,2025-05-23--16h-55m-14s-768967
4,12,C,0,0,2025-05-23--16h-55m-14s-768967
4,11,C,0,0,2025-05-23--16h-55m-14s-768967
4,10,C,0,0,2025-05-23--16h-55m-14s-768967
4,7,SB,0,0,2025-05-23--16h-55m-14s-768967
7,9,C,0,0,2025-05-23--16h-55m-14s-768967
7,12,C,0,0,2025-05-23--16h-55m-14s-768967
7,11,C,0,0,2025-05-23--16h-55m-14s-768967
7,10,C,0,0,2025-05-23--16h-55m-14s-768967
2,9,C,0,0,2025-05-23--16h-55m-14s-768967
2,12,C,0,0,2025-05-23--16h-55m-14s-768967
2,11,C,0,0,2025-05-23--16h-55m-14s-768967
2,10,C,0,0,2025-05-23--16h-55m-14s-768967
2,4,SB,0,0,2025-05-23--16h-55m-14s-768967
2,7,DB_V,0,0,2025-05-23--16h-55m-14s-768967
9,12,DB_H,1,0,2025-05-23--16h-55m-14s-793020
9,11,SB,1,0,2025-05-23--16h-55m-14s-793020
9,10,SB,1,0,2025-05-23--16h-55m-14s-793020
11,12,SB,1,0,2025-05-23--16h-55m-14s-793020
10,12,SB,1,0,2025-05-23--16h-55m-14s-793020
10,11,DB_V,1,0,2025-05-23--16h-55m-14s-793020
1,9,C,1,0,2025-05-23--16h-55m-14s-793020
1,12,C,1,0,2025-05-23--16h-55m-14s-793020
1,11,C,1,0,2025-05-23--16h-55m-14s-793020
1,10,C,1,0,2025-05-23--16h-55m-14s-793020
1,4,DB_H,1,1,2025-05-23--16h-55m-14s-793020
1,7,SB,1,0,2025-05-23--16h-55m-14s-793020
1,2,SB,1,0,2025-05-23--16h-55m-14s-793020
4,9,C,1,0,2025-05-23--16h-55m-14s-793020
4,12,C,1,0,2025-05-23--16h-55m-14s-793020
4,11,C,1,0,2025-05-23--16h-55m-14s-793020
4,10,C,1,0,2025-05-23--16h-55m-14s-793020
4,7,SB,1,0,2025-05-23--16h-55m-14s-793020
7,9,C,1,0,2025-05-23--16h-55m-14s-793020
