angle,singles,coincidences
0.0,14600.0,2786
9.0,11733.0,2341
18.0,10676.0,2071
27.0,11945.0,2292
36.0,13926.0,2785
45.0,16930.0,3333
54.0,19317.0,4013
63.0,20237.0,4224
72.0,19479.0,4096
81.0,17418.0,3475
90.0,14490.0,2848
99.0,12064.0,2321
108.0,11175.0,2242
117.0,11989.0,2386
126.0,14714.0,2857
135.0,17621.0,3573
144.0,19429.0,4063
153.0,20483.0,4180
162.0,19794.0,4130
171.0,17394.0,3600
180.0,14620.0,2953
13.330599856706556,11079.0,2119
14.330599856706556,11048.0,2126
15.330599856706556,10645.0,2041
16.330599856706556,11158.0,2047
17.330599856706556,10945.0,2024
18.330599856706556,10963.0,2134
19.330599856706556,11062.0,2073
20.330599856706556,10903.0,2134
21.330599856706556,11255.0,2215
22.330599856706556,10916.0,2117
23.330599856706556,11218.0,2184
58.330599856706556,19953.0,4141
59.99726652337322,19812.0,4138
61.66393319003989,20219.0,4290
63.330599856706556,20086.0,4172
64.99726652337323,19950.0,4241
66.66393319003988,19864.0,4146
68.33059985670656,19885.0,4204
35.830599856706556,14181.0,2707
38.330599856706556,14864.0,2950
40.830599856706556,15847.0,3123
43.330599856706556,16402.0,3263
45.830599856706556,17283.0,3580
