delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972
0.00314159265358979,-0.00307901334625669,0.00159202624836168,0.125456905996839,0.000239773517386991,0.126686102521471,0.000235156626445562,0.127886451178464,0.000230804983248601
0.00628318530717959,-0.00603295483570235,0.00636059334334765,0.122370070372869,0.000958810165398877,0.123598572929714,0.000940349102715627,0.124798249458392,0.000922947544588681
0.00942477796076938,-0.00886208445492998,0.0142832183676595,0.119319747009734,0.00215626101517384,0.120547093555713,0.00211474815715807,0.121745650441926,0.00207561364252704
0.0125663706143592,-0.0115668345598002,0.0253226027468088,0.116305947230237,0.00383072035690701,0.117531676625551,0.00375698134522192,0.118728667212396,0.00368745682484659
0.015707963267949,-0.0141478084477943,0.039426889974779,0.113328686808626,0.00598023908900353,0.1145523391783,0.0058651471593681,0.115747318009323,0.00575661321110958
0.0188495559215388,-0.0166057783693667,0.0565300230396319,0.1103879858929,0.00860234274796593,0.111609102988537,0.00843683400260616,0.112801626151239,0.0082807216101801
0.0219911485751286,-0.0189416829882765,0.0765521982078457,0.107483868904885,0.0116940535128205,0.10870199446669,0.0114691433002444,0.109891619936398,0.0112569479772261
0.0251327412287183,-0.0211566243036016,0.0994004109411931,0.104616364418055,0.0152519153927158,0.105831044537162,0.0149587158904678,0.107017332521331,0.0146820132704589
0.0282743338823081,-0.0232518640488098,0.124969088885425,0.101785505013092,0.0192720217227812,0.102996288494221,0.0189017607469128,0.104178801777224,0.0185522236761072
0.0314159265358979,-0.0252288195857893,0.153140806096151,0.0989913271111517,0.0237500440535909,0.100197765835612,0.0232940850476691,0.101376070124036,0.0228635021328926
0.0345575191894877,-0.027089059314184,0.183787071962328,0.0962338707848297,0.0286812615228193,0.0974355200738532,0.0281311246137937,0.0986091843423406,0.0276114201027037
0.0376991118430775,-0.0288342976186689,0.216769187659967,0.0935131795468125,0.0340605898403158,0.0947095985252071,0.0334079737921738,0.0958781953628299,0.0327912285969631
0.0408407044966673,-0.0304663893789482,0.251939162424567,0.0908293001162195,0.0398826090942139,0.0920200520762878,0.0391194139456467,0.0931831580334389,0.0383978875702893
0.0439822971502571,-0.0319873240692415,0.289140681475514,0.0881822821626503,0.0461415896885503,0.0893669349283092,0.0452599398293883,0.0905241308640672,0.0444260929248636
0.0471238898038469,-0.0333992194758358,0.328210117064044,0.0855721780279682,0.0528315158442547,0.0867503043189752,0.0518237832675556,0.0879011757488764,0.0508703005198837
0.0502654824574367,-0.0347043150629082,0.368977573850616,0.0829990424258761,0.059946106227165,0.0841702202220429,0.0588049336889891,0.0853143576661641,0.0577247467404527
0.0534070751110265,-0.0359049650182466,0.41126795964962,0.0804629321193651,0.0674788314012898,0.0816267450246075,0.0661971552269653,0.0827637443558384,0.0649834653398345
0.0565486677646163,-0.0370036310117422,0.45490207250923,0.0779639055761478,0.0754229279362841,0.0791199431821925,0.0739940002284075,0.0802494059745409,0.072640300420358
0.0596902604182061,-0.0380028747005389,0.499697695120843,0.0755020226022285,0.0837714091195547,0.0766498808517609,0.0821888191467734,0.0777714147285078,0.0806889155553251
0.0628318530717959,-0.038905350015539,0.545470687673685,0.0730773439537954,0.0925170723316065,0.0742166255028036,0.0907747669060586,0.0753298444842842,0.0891227991728652
0.0659734457253857,-0.0397137952645746,0.592036070481789,0.0706899309276809,0.101652503235553,0.0718202455067087,0.0997448059183641,0.0729247703574643,0.0979352664204769
0.0691150383789755,-0.0404310250879229,0.639209088008617,0.0683398449306791,0.111170077006903,0.0694608097046665,0.109091706013342,0.0705562682796727,0.107119457805209
0.0722566310325652,-0.0410599223020256,0.686806246292656,0.0660271470280745,0.121061956887584,0.0671383869544256,0.118808041594641,0.0682244145440646,0.116668334959775
0.075398223686155,-0.0416034296672245,0.734646316229328,0.0637518974718016,0.131320090389535,0.0648530456562781,0.12888618637747,0.0659292853296805,0.12657467392084
0.0785398163397448,-0.0420645416150787,0.782551295682686,0.0615141552087284,0.141936203499393,0.0626048532587259,0.139318306084307,0.0636709562050695,0.136831056324726
0.0816814089933346,-0.0424462959703764,0.830347323976687,0.0593139773696336,0.152901793248864,0.0603938757443569,0.150096349484986,0.0614495016116652,0.14742985893036
0.0848230016469244,-0.0427517657023019,0.877865542941883,0.0571514187395358,0.164208119017263,0.0582201770965456,0.161212038165175,0.0592649943274874,0.158363241872423
0.0879645943005142,-0.0429840507383838,0.924942899359803,0.0550265312101223,0.175846192925665,0.0560838187476844,0.172656855396229,0.0571175049118337,0.169623136031947
0.091106186954104,-0.0431462698738408,0.971422884345474,0.0529393632151243,0.187806769668298,0.0539848590097488,0.1844220344617,0.0550071011317171,0.181201229889625
0.0942477796076938,-0.0432415528077407,1.01715620592853,0.0508899591495929,0.200080336107937,0.0519233524881049,0.196498546773614,0.0529338473709209,0.193088956201174
0.0973893722612836,-0.0432730323360719,1.06200139182653,0.0488783587741295,0.21265710094013,0.0498993494795789,0.208877090086628,0.0508978040226403,0.205277478805826
0.100530964914873,-0.0432438367303168,1.10582532014124,0.0469045966052527,0.225526984707155,0.0479128953559203,0.221548077092047,0.0488990268668086,0.21775767985026
0.103672557568463,-0.0431570823285173,1.14850367644048,0.0449687012931958,0.238679610418083,0.0459640299339181,0.234501624647151,0.0469375664333173,0.230520147681861
0.106814150222053,-0.0430158663640814,1.18992133640761,0.0430706949885528,0.252104295007034,0.0440527868335476,0.247727543869713,0.0450134673524788,0.243555165638093
0.109955742875643,-0.0428232600557434,1.22997267393856,0.0412105926993245,0.265790041838089,0.0421791928256654,0.261215331303155,0.0431267676941985,0.256852701933545
0.113097335529233,-0.0425823019801678,1.26856179523655,0.0393884016400393,0.279725534443086,0.0403432671708898,0.274954161335048,0.0412774982974728,0.270402400822938
0.116238928182822,-0.0422959917466882,1.30560270009024,0.0376041205747669,0.293899131657665,0.0385450209514551,0.288932880030773,0.0394656820919552,0.284193575197582
0.119380520836412,-0.0419672839916113,1.34101937211618,0.0358577391559648,0.308298864301699,0.0367844563979535,0.303140000525139,0.0376913334134839,0.29821520075383
0.122522113490002,-0.0415990827074281,1.37474580029675,0.0341492372612423,0.322912433532405,0.0350615662130243,0.317563700097369,0.0359544573156001,0.312455911855424
0.125663706143592,-0.0411942359201401,1.40672593464539,0.0324785843302541,0.337727210982242,0.0333763328941803,0.332191819039384,0.0342550488792267,0.326903999196626
