delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972,E_nu_0.973,VarCRB_nu_0.973,E_nu_0.974,VarCRB_nu_0.974,E_nu_0.975,VarCRB_nu_0.975,E_nu_0.976,VarCRB_nu_0.976,E_nu_0.977,VarCRB_nu_0.977,E_nu_0.978,VarCRB_nu_0.978,E_nu_0.979,VarCRB_nu_0.979,E_nu_0.980,VarCRB_nu_0.980
0.00314159265358979,-0.00304282157771656,0.00395723751723944,0.0977542436137374,0.000374565814665615,0.0994808475272715,0.000358636814795581,0.101143567723896,0.00034421698908504,0.102745139654748,0.000331229206370786,0.104288777008018,0.00031955523845942,0.105570816178633,0.000314922953495973,0.10636364815257,0.000323099037776656,0.105932338641136,0.000363831107122697,0.101072588812289,0.00051935006997196,0.0874204867309678,0.000835230389682971,0.0729015360393844,0.00101043795258223
0.00628318530717959,-0.00588844320503946,0.0157822311265394,0.0946769504277042,0.0014979621626292,0.0964018228498145,0.00143429998809808,0.0980629121157755,0.00137666510799748,0.0996629538516986,0.00132474797558953,0.101205162126434,0.00127807537386639,0.10248635719451,0.001259460191566,0.103279570528039,0.00129185269878177,0.102851856683117,0.00145386871607893,0.0980066945487506,0.00207309524936753,0.0843833984474436,0.00333268977281057,0.0698793659602638,0.00403400034226572
0.00942477796076938,-0.00853788866523409,0.0353356317843435,0.0916425656218929,0.00336928712362485,0.0933645540784927,0.00322624909202715,0.0950229267175123,0.0030967373051239,0.0966204193597566,0.0029800515211033,0.0981602466107789,0.00287512591324195,0.0994400304215997,0.00283292309461964,0.100233862753375,0.00290464879043118,0.0998120922003718,0.00326579713714022,0.0949910938562422,0.00464846606030049,0.0814156280010662,0.00746790550359426,0.0669365235537858,0.00904757655349517
0.0125663706143592,-0.0109928548963981,0.0623878647884381,0.0886511521483304,0.00598704191704459,0.0903691069530145,0.00573325455189374,0.0920236796631296,0.00550342665013459,0.0936176061715052,0.00529630423642826,0.0951541016331477,0.00510998999045844,0.0964319005432416,0.00503418436249241,0.0972265650578456,0.00515885974988731,0.0968130124759782,0.00579259194807242,0.0920255339528637,0.00822465716924132,0.0785166553155794,0.0132008220712862,0.0640725818203901,0.016013123431401
0.015707963267949,-0.013255698063383,0.0966230747218847,0.0857027978372667,0.00934913705128745,0.0874155732211149,0.00895360385119168,0.089065266068473,0.00859533303217292,0.0906546120280923,0.00827234765846552,0.0921868266229819,0.00798167860951426,0.0934620581803164,0.00786170715321281,0.0942577347016795,0.00805092794380025,0.0938545751511964,0.00902476201259183,0.0891096712134304,0.0127735149004644,0.0756857670943429,0.0204768646438445,0.061286950993828,0.0248783606870418
0.0188495559215388,-0.015329414302265,0.137644519179789,0.0827976150920741,0.013452900001023,0.0845040703480675,0.0128851092441082,0.086147807756649,0.012370671500224,0.0877315621675163,0.0119067104679051,0.0892585490511901,0.0114889436518779,0.0905306199378003,0.0113135830704781,0.0913274468523446,0.0115764777389716,0.0909367314746479,0.0129506680983289,0.0862430809094941,0.0182604458014024,0.0729220710241268,0.0292283608338142,0.0585788863474595,0.0355777125440678
0.0219911485751286,-0.0172176153762863,0.184981286739421,0.0799357404933991,0.0182950835458467,0.0816347411394607,0.0175251160705521,0.0832714529010714,0.0168272812840671,0.0848486089964107,0.0161976194646848,0.0863694241464522,0.0156302924191693,0.0876377284405095,0.0153875764445575,0.0884357956258835,0.0157304477167172,0.088059430215317,0.0175568999576411,0.0834252690152388,0.0246454976411157,0.0702245132070178,0.0393762588911621,0.0559474979158635,0.0480334656914907
0.0251327412287183,-0.0189244995436,0.238096185508158,0.0771173343099401,0.0238718737437982,0.0788077532744853,0.0228705106030567,0.0804363755832114,0.021962634360202,0.0820059316819785,0.0211430102676435,0.0835196345393042,0.0204040022697239,0.0847835523418099,0.0200811719504056,0.0855828952369656,0.0205072354476512,0.0852226220658457,0.0228286912335022,0.0806556856063088,0.0318845572644532,0.067591898257978,0.0508320700171032,0.0533917619107698,0.0621571077126324
0.0282743338823081,-0.0204548179936766,0.296394623968715,0.0743425799126889,0.0301788964095414,0.0760232987464059,0.0289177262487357,0.0776427752615358,0.0277738423171115,0.0792037356600656,0.0267405363708454,0.0807093898288567,0.0258081337809666,0.0819682862872737,0.0253916224046882,0.082768881196349,0.0259008468424824,0.0824262643485609,0.0287503506233906,0.0779337393378439,0.039930606873966,0.0650229114416473,0.0634999564224184,0.050910533577161,0.0778508059713404
0.0314159265358979,-0.0218138372598865,0.359234286391622,0.0716116830889708,0.0372112209231571,0.0732815932063627,0.0356627468859746,0.074890876147567,0.0342576602312551,0.0764422520547628,0.0329875751473474,0.0779389260663323,0.0318405408313845,0.0791921508143385,0.0313159935795296,0.0799939114928771,0.031905042234926,0.0796703258335427,0.0353056883238097,0.0752588124762509,0.0487349814737468,0.062516142187442,0.0772788852306625,0.0485025612106143,0.0950089845538902
