delta_phi,E_nu_1.000,VarCRB_nu_1.000,E_nu_0.970,VarCRB_nu_0.970,E_nu_0.971,VarCRB_nu_0.971,E_nu_0.972,VarCRB_nu_0.972,E_nu_0.973,VarCRB_nu_0.973,E_nu_0.974,VarCRB_nu_0.974,E_nu_0.975,VarCRB_nu_0.975,E_nu_0.976,VarCRB_nu_0.976,E_nu_0.977,VarCRB_nu_0.977,E_nu_0.978,VarCRB_nu_0.978,E_nu_0.979,VarCRB_nu_0.979,E_nu_0.980,VarCRB_nu_0.980
0.00314159265358979,-0.00309721787017889,0.000803322272437164,0.203532107152335,0.000107530010076004,0.204183039004287,0.000107440501602795,0.204830006284855,0.000107404931219562,0.205473119688281,0.000107427833521308,0.206112485225844,0.000107514503957429,0.206748204497648,0.000107671146865713,0.207380374943924,0.000107905060810099,0.208009090077728,0.00010822487253327,0.20863443970075,0.00010864083494847,0.209256510103735,0.000109165210468844,0.209875384252868,0.000109812769486814
0.00628318530717959,-0.00610571692256619,0.00321140009182042,0.200423355344093,0.000429926197609126,0.201074113925399,0.000429558011154279,0.201720909421785,0.000429404412012708,0.202363852488538,0.000429483369678262,0.203003049099757,0.000429815864254441,0.203638600820039,0.000430426470651094,0.204270605055673,0.000431344089650774,0.204899155287253,0.000432602870261612,0.205524341285396,0.000434243383882982,0.206146249311086,0.000436314133794953,0.206764962301989,0.000438873516769175
0.00942477796076938,-0.00902558935319935,0.00721857300839971,0.197336502235172,0.000966610577004299,0.197986972095481,0.000965744423540075,0.198633481347195,0.000965356770685645,0.199276140580701,0.000965487425451756,0.199915055708161,0.000966182847801109,0.200550328235013,0.000967497435923314,0.201182055511004,0.000969495133379305,0.201810330962643,0.00097225145503355,0.202435244308784,0.00097585606368831,0.203056881760828,0.000980416079196664,0.203675326208927,0.000986060373930563
0.0125663706143592,-0.0118569886520947,0.0128154287219018,0.194271555023208,0.00171663151985013,0.194921620807318,0.00171499902146188,0.195567729447345,0.00171420661316956,0.196209991442875,0.00171432354185699,0.196848512619411,0.00171543058860495,0.19748339439962,0.00171762228322456,0.19811473405414,0.00172100967037824,0.198742624933808,0.00172572379237486,0.19936715668505,0.00173192011296754,0.199988415449901,0.00173978419073204,0.20060648405203,0.00174953903216377
0.015707963267949,-0.01460012934863,0.0199888356477013,0.191228523772885,0.00267868083768199,0.191878070258862,0.00267594716572885,0.192523664051118,0.00267450534626702,0.19316541553259,0.00267446060703569,0.193803430417452,0.00267593562866953,0.194437810022045,0.00267907386912342,0.195068651515374,0.00268404371043646,0.195696048151067,0.00269104367205472,0.196320089482506,0.00270030902188951,0.196940861562611,0.00271212023963494,0.197558447129644,0.00272681396437942
0.0188495559215388,-0.0172552866559835,0.028721988294621,0.188207421403921,0.00385111684610275,0.188856333541279,0.00384686549839651,0.189501298418122,0.00384443881556746,0.190142426274962,0.00384398327829932,0.190779822690049,0.00384566953933063,0.1914135888499,0.00384969698344376,0.192043821799432,0.00385629940604145,0.192670614673584,0.00386575213940956,0.193294056912136,0.00387838107181747,0.1939142344592,0.00389457416876556,0.194531229948762,0.00391479634115262
0.0219911485751286,-0.0198227960155318,0.0389944652410242,0.185208263675598,0.00523199261580656,0.185856426623558,0.00522571276249858,0.18650064872338,0.00522186104225253,0.18714104004747,0.0052206290461987,0.187777706013638,0.00522223979840597,0.188410747655163,0.00522695361847153,0.189040261870494,0.005235075408282,0.189666341654478,0.00524696377735613,0.190289076312799,0.00526304256570337,0.190908551661141,0.00528381552684053,0.191524850210404,0.00530988522473648
0.0251327412287183,-0.0223030525423525,0.0507822994372182,0.182231069167838,0.00681908846567825,0.182878368333672,0.00681016517544802,0.183521734038592,0.00680433285771885,0.18416127616131,0.006801830577062,0.184797099934784,0.00680293636736379,0.185429306215736,0.00680797440549457,0.186057991733861,0.00681732390843122,0.186683249322589,0.00683143024905521,0.187305168133105,0.00685081895636987,0.18792383383312,0.00687611350530561,0.188539328791716,0.00690805814201002
0.0282743338823081,-0.0246965103732382,0.0640580605050554,0.179275859258798,0.00860994765169618,0.179922180336293,0.0085976551832782,0.180564576309949,0.00858916411585927,0.181203156839327,0.0085847618414521,0.181838026948231,0.00858478227316414,0.182469287293619,0.0085896142833697,0.183097034414242,0.00859971214423702,0.183721360960897,0.00861560853790201,0.184342355909961,0.00863793089616953,0.184960104761713,0.00866742209885194,0.185574689724778,0.00870496694123613
0.0314159265358979,-0.0270036819188595,0.0787909486506203,0.176342658098974,0.0106019141554161,0.176987887107011,0.0105854123723824,0.177629200332492,0.0105734581125937,0.178266707190502,0.0105663864872131,0.178900512471522,0.0105645864538336,0.179530716609657,0.0105685104238828,0.180157415930652,0.0105786861191633,0.180780702881561,0.0105957313048694,0.181400666243749,0.0106203722360908,0.182017391330717,0.0106534669465564,0.182630960172082,0.0106960349195444
