angle,singles,coincidences
0.0,1121.0,0
9.0,2889.0,0
18.0,9278.0,4
27.0,17447.0,8
36.0,25107.0,14
45.0,28322.0,18
54.0,26774.0,16
63.0,20293.0,11
72.0,11789.0,2
81.0,4587.0,0
90.0,1169.0,0
99.0,2979.0,1
108.0,9258.0,3
117.0,17793.0,10
126.0,25156.0,10
135.0,28431.0,12
144.0,26923.0,13
153.0,20169.0,8
162.0,11925.0,6
171.0,4583.0,2
180.0,1125.0,0
-3.5540705128513466,1219.0,0
-2.5540705128513466,1627.0,0
-1.5540705128513466,1404.0,0
-0.5540705128513466,1237.0,1
0.44592948714865344,1150.0,1
1.4459294871486534,1052.0,0
2.4459294871486534,726.0,0
3.4459294871486534,1170.0,0
4.445929487148653,1369.0,0
5.445929487148653,1551.0,2
6.445929487148653,1800.0,1
41.44592948714865,27617.0,14
43.11259615381532,28578.0,11
44.77926282048199,28604.0,12
46.44592948714865,28535.0,16
48.11259615381532,28466.0,18
49.77926282048199,28174.0,13
51.44592948714865,27834.0,9
18.945929487148653,10016.0,5
21.445929487148653,12200.0,6
23.945929487148653,14724.0,10
26.445929487148653,17245.0,6
28.945929487148653,19300.0,9
