,Measurement Basis,TT,TR,RT,RR
0,H,371,57309,446,54939
1,D,30446,28654,30314,26744
2,R,31339,27462,32132,24756
3,V,60165,533,57418,344
4,A,29612,29191,29202,27394
5,L,28376,30568,28303,28372
