,Measurement Basis,TT,TR,RT,RR
0,H,65242,523,65298,373
1,D,32621,30906,31426,35082
2,R,32009,32379,29988,36109
3,V,382,61044,463,65853
4,A,32818,30966,31865,33898
5,L,33586,30099,32130,33546
