angle,singles,coincidences
0.0,19473.0,4058
9.0,20163.0,4300
18.0,19337.0,4086
27.0,17170.0,3442
36.0,14371.0,2940
45.0,12048.0,2327
54.0,11040.0,2207
63.0,12068.0,2462
72.0,14618.0,3013
81.0,17190.0,3612
90.0,19337.0,3991
99.0,20162.0,4216
108.0,19080.0,4000
117.0,17198.0,3543
126.0,14388.0,2981
135.0,11796.0,2291
144.0,10768.0,2051
153.0,11678.0,2365
162.0,14078.0,2823
171.0,16848.0,3471
180.0,19392.0,4052
18.804276685562428,19379.0,4107
19.304276685562428,19117.0,4087
19.804276685562428,19199.0,4055
20.304276685562428,19079.0,4075
20.804276685562428,18810.0,3957
21.304276685562428,18729.0,3843
21.804276685562428,18675.0,3929
22.304276685562428,18511.0,3827
22.804276685562428,18304.0,3757
23.304276685562428,18376.0,3745
23.804276685562428,18061.0,3798
86.30427668556243,18843.0,3819
87.13761001889576,18482.0,3839
87.9709433522291,19130.0,4001
88.80427668556243,19173.0,3985
89.63761001889576,19320.0,4095
90.4709433522291,19537.0,4057
91.30427668556243,19425.0,4029
