Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,32813,31931,32615,33519,65428,65450
1,D,26341,38050,11959,53534,38300,91584
2,R,66271,1247,56978,8036,123249,9283
3,V,34440,30938,30906,34245,65346,65183
4,A,39854,25072,52245,12228,92099,37300
5,L,1089,61773,7845,58413,8934,120186
