,Measurement Basis,TT,TR,RT,RR
0,H,73795,73445,84697,65224
1,D,6740,143264,1140,132816
2,R,101955,45330,76764,73355
3,V,70733,76932,76823,71564
4,A,137499,7831,165501,1472
5,L,43174,105335,90559,62083
