,Measurement Basis,TT,TR,RT,RR
0,H,555,75336,1043,62397
1,D,33199,37317,46145,31011
2,R,34344,36727,49035,29815
3,V,64758,924,86522,1435
4,A,31760,38294,43740,32269
5,L,31461,39607,42838,33306
