data_dir,C,SB,DB_V,DB_H,N
2025-06-18--17h-22m-30s,103.0,2.0,0.0,95.0,200.0
2025-06-18--17h-22m-30s,95.0,1.0,0.0,104.0,200.0
2025-06-18--17h-22m-30s,97.0,1.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,105.0,1.0,0.0,94.0,200.0
2025-06-18--17h-22m-30s,92.0,1.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,101.0,0.0,0.0,99.0,200.0
2025-06-18--17h-22m-30s,95.0,2.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,96.0,0.0,0.0,104.0,200.0
2025-06-18--17h-22m-30s,92.0,1.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,104.0,2.0,0.0,94.0,200.0
2025-06-18--17h-22m-30s,98.0,1.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,101.0,4.0,0.0,95.0,200.0
2025-06-18--17h-22m-30s,98.0,3.0,0.0,99.0,200.0
2025-06-18--17h-22m-30s,98.0,1.0,0.0,101.0,200.0
2025-06-18--17h-22m-30s,101.0,1.0,0.0,98.0,200.0
2025-06-18--17h-22m-30s,98.0,0.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,95.0,0.0,0.0,105.0,200.0
2025-06-18--17h-22m-30s,106.0,0.0,0.0,94.0,200.0
2025-06-18--17h-22m-30s,100.0,3.0,0.0,97.0,200.0
2025-06-18--17h-22m-30s,97.0,1.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,97.0,0.0,0.0,103.0,200.0
2025-06-18--17h-22m-30s,106.0,0.0,0.0,94.0,200.0
2025-06-18--17h-22m-30s,100.0,3.0,0.0,97.0,200.0
2025-06-18--17h-22m-30s,106.0,2.0,0.0,92.0,200.0
2025-06-18--17h-22m-30s,84.0,1.0,0.0,115.0,200.0
2025-06-18--17h-22m-30s,98.0,0.0,0.0,102.0,200.0
2025-06-18--17h-22m-30s,92.0,1.0,0.0,107.0,200.0
2025-06-18--17h-22m-30s,95.0,0.0,0.0,105.0,200.0
2025-06-18--17h-22m-30s,108.0,0.0,0.0,92.0,200.0
2025-06-18--17h-22m-30s,108.0,0.0,0.0,92.0,200.0
