Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,92487,1857,91539,1410,184026,3267
1,D,45470,47955,42328,37506,87798,85461
2,R,46098,47052,40721,37967,86819,85019
3,V,1290,91770,1059,66684,2349,158454
4,A,47041,45381,45845,34864,92886,80245
5,L,46638,46852,44863,35303,91501,82155
