data_dir,C,SB,DB_V,DB_H,N
2025-06-03--20h-17m-09s,82.0,13.0,54.0,51.0,200.0
2025-06-03--20h-17m-09s,92.0,11.0,37.0,60.0,200.0
2025-06-03--20h-17m-09s,78.0,7.0,56.0,59.0,200.0
2025-06-03--20h-17m-09s,100.0,10.0,42.0,48.0,200.0
2025-06-03--20h-17m-09s,78.0,4.0,57.0,61.0,200.0
2025-06-03--20h-17m-09s,91.0,8.0,50.0,51.0,200.0
2025-06-03--20h-17m-09s,90.0,14.0,44.0,52.0,200.0
2025-06-03--20h-17m-09s,89.0,12.0,51.0,48.0,200.0
2025-06-03--20h-17m-09s,87.0,11.0,48.0,54.0,200.0
2025-06-03--20h-17m-09s,81.0,17.0,47.0,55.0,200.0
2025-06-03--20h-17m-09s,93.0,10.0,58.0,39.0,200.0
2025-06-03--20h-17m-09s,86.0,5.0,49.0,60.0,200.0
2025-06-03--20h-17m-09s,91.0,8.0,47.0,54.0,200.0
2025-06-03--20h-17m-09s,91.0,8.0,45.0,56.0,200.0
2025-06-03--20h-17m-09s,89.0,14.0,41.0,56.0,200.0
2025-06-03--20h-17m-09s,85.0,10.0,56.0,49.0,200.0
2025-06-03--20h-17m-09s,90.0,13.0,37.0,60.0,200.0
2025-06-03--20h-17m-09s,83.0,6.0,41.0,70.0,200.0
2025-06-03--20h-17m-09s,91.0,9.0,49.0,51.0,200.0
2025-06-03--20h-17m-09s,98.0,12.0,45.0,45.0,200.0
2025-06-03--20h-17m-09s,94.0,12.0,40.0,54.0,200.0
2025-06-03--20h-17m-09s,80.0,11.0,51.0,58.0,200.0
2025-06-03--20h-17m-09s,94.0,7.0,47.0,52.0,200.0
2025-06-03--20h-17m-09s,90.0,11.0,40.0,59.0,200.0
2025-06-03--20h-17m-09s,94.0,10.0,44.0,52.0,200.0
2025-06-03--20h-17m-09s,104.0,7.0,34.0,55.0,200.0
2025-06-03--20h-17m-09s,90.0,13.0,39.0,58.0,200.0
2025-06-03--20h-17m-09s,82.0,10.0,52.0,56.0,200.0
2025-06-03--20h-17m-09s,95.0,17.0,45.0,43.0,200.0
2025-06-03--20h-17m-09s,78.0,10.0,51.0,61.0,200.0
2025-06-03--20h-17m-09s,90.0,7.0,53.0,50.0,200.0
2025-06-03--20h-17m-09s,97.0,14.0,43.0,46.0,200.0
2025-06-03--20h-17m-09s,90.0,8.0,43.0,59.0,200.0
2025-06-03--20h-17m-09s,93.0,10.0,50.0,47.0,200.0
2025-06-03--20h-17m-09s,96.0,7.0,46.0,51.0,200.0
2025-06-03--20h-17m-09s,91.0,11.0,52.0,46.0,200.0
2025-06-03--20h-17m-09s,83.0,12.0,54.0,51.0,200.0
2025-06-03--20h-17m-09s,75.0,12.0,48.0,65.0,200.0
2025-06-03--20h-17m-09s,87.0,7.0,60.0,46.0,200.0
2025-06-03--20h-17m-09s,87.0,7.0,46.0,60.0,200.0
2025-06-03--20h-17m-09s,93.0,13.0,42.0,52.0,200.0
2025-06-03--20h-17m-09s,103.0,14.0,32.0,51.0,200.0
2025-06-03--20h-17m-09s,80.0,13.0,43.0,64.0,200.0
2025-06-03--20h-17m-09s,93.0,5.0,42.0,60.0,200.0
2025-06-03--20h-17m-09s,90.0,14.0,36.0,60.0,200.0
2025-06-03--20h-17m-09s,90.0,14.0,48.0,48.0,200.0
2025-06-03--20h-17m-09s,103.0,14.0,34.0,49.0,200.0
2025-06-03--20h-17m-09s,77.0,13.0,51.0,59.0,200.0
2025-06-03--20h-17m-09s,91.0,5.0,50.0,54.0,200.0
2025-06-03--20h-17m-09s,90.0,8.0,46.0,56.0,200.0
