,Measurement Basis,TT,TR,RT,RR
0,H,130737,518,129630,1217
1,D,65089,67372,61016,53309
2,R,65935,66388,60555,53965
3,V,279,131863,702,95241
4,A,66343,65908,65276,49831
5,L,65084,66906,63001,51014
