detector_a_name,detector_b_name,tomography_setting_a,tomography_setting_b,repetition,coincidences,timestamp,data_dir,estimation_label
9,10,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
11,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
10,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
10,11,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,DB_H
1,9,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
1,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
1,11,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
1,10,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
1,4,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,DB_H
1,7,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
1,2,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
4,9,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
4,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
4,11,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
4,10,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
4,7,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
7,9,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
7,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
7,11,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
7,10,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
2,9,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
2,12,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
2,11,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
2,10,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,C
2,4,V,H,121,0,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,SB
2,7,V,H,121,1,2025-05-28--11h-42m-51s-952375,2025-05-28--11h-42m-11s,DB_V
9,12,V,H,122,2,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,DB_V
9,11,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
9,10,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
11,12,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
10,12,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
10,11,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,DB_H
1,9,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
1,12,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
1,11,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
1,10,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
1,4,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,DB_H
1,7,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
1,2,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,SB
4,9,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
4,12,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
4,11,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
4,10,V,H,122,0,2025-05-28--11h-42m-51s-973570,2025-05-28--11h-42m-11s,C
