,Measurement Basis,TT,TR,RT,RR
0,H,32109,32485,33061,32632
1,D,39811,25459,53382,12095
2,R,1163,62171,8036,57545
3,V,34223,31054,34564,30247
4,A,26311,37508,12079,53426
5,L,64892,1178,57310,7703
