Unnamed: 0,basis,TT,TR,RT,RR,T,R
0,HH,43812,30,44,0,43856,30
1,HD,20123,16,23697,24,43820,40
2,HR,20276,13,23702,15,43978,28
3,DH,21452,20643,19,19,21471,20662
4,DD,9904,9472,12000,11146,21904,20618
5,DR,9799,9219,11742,11101,21541,20320
6,RH,21927,20452,19,21,21946,20473
7,RD,9989,9362,11739,11113,21728,20475
8,RR,10242,9487,11868,11225,22110,20712
