,basis,TT,TR,RT,RR
0,HH,68,10068,11986,88
1,HD,6471,4591,5905,5387
2,HR,6448,4480,5659,5265
3,DH,5251,5019,6026,5773
4,DD,5475,5213,5719,5361
5,DR,5559,5379,5640,5438
6,RH,5227,4871,6012,5824
7,RD,5520,5121,5728,5287
8,RR,5663,5268,5648,5353
