Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,20976,97724,21114,82150,42090,179874
1,D,82137,38477,71096,48488,153233,86965
2,R,99618,19985,118156,12432,217774,32417
3,V,99228,21511,113800,16322,213028,37833
4,A,37685,82618,66738,51237,104423,133855
5,L,20172,99802,20100,85118,40272,184920
