Unnamed: 0,Measurement Basis,TT,TR,RT,RR,T,R
0,H,124770,4793,125160,4056,249930,8849
1,D,86501,44376,77988,40017,164489,84393
2,R,72854,58548,78377,39931,151231,98479
3,V,4597,125669,6767,90299,11364,215968
4,A,42652,86734,47133,62201,89785,148935
5,L,56681,73064,44779,63297,101460,136361
