angle,singles,coincidences
0.0,1149.0,0
9.0,2457.0,0
18.0,7812.0,3
27.0,15056.0,10
36.0,21468.0,7
45.0,24872.0,6
54.0,23516.0,16
63.0,18011.0,9
72.0,10682.0,8
81.0,4141.0,1
90.0,1129.0,0
99.0,2506.0,0
108.0,7256.0,4
117.0,15214.0,6
126.0,21603.0,11
135.0,24400.0,15
144.0,22740.0,8
153.0,17478.0,5
162.0,10811.0,4
171.0,4239.0,2
180.0,1175.0,0
-3.1852323112339604,1119.0,0
-2.1852323112339604,1577.0,0
-1.1852323112339604,1251.0,0
-0.18523231123396044,1171.0,0
0.8147676887660396,1085.0,0
1.8147676887660396,1068.0,0
2.8147676887660396,1058.0,0
3.8147676887660396,1161.0,0
4.8147676887660396,1278.0,0
5.8147676887660396,1526.0,0
6.8147676887660396,1738.0,1
41.81476768876604,24349.0,12
43.481434355432704,24784.0,11
45.148101022099375,25099.0,14
46.81476768876604,24977.0,16
48.481434355432704,25065.0,6
50.148101022099375,25012.0,7
51.81476768876604,24029.0,11
19.31476768876604,8646.0,5
21.81476768876604,10786.0,8
24.31476768876604,12967.0,4
26.81476768876604,15151.0,4
29.31476768876604,16976.0,9
