,Measurement Basis,TT,TR,RT,RR
0,H,98061,47754,120601,42671
1,D,75291,72529,52679,96888
2,R,140423,5749,157872,15090
3,V,46593,100526,56973,92777
4,A,68740,77264,124235,41354
5,L,5122,143379,18876,124459
