detector_a_name,detector_b_name,detector_a_time_tag,detector_b_time_tag,timestamp,tomography_setting_t,tomography_setting_r,data_dir,estimation_label,corrected_estimation_label
2,10,2554315576181040640,2554315576181040640,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
10,11,2554315576194405376,2554315576194405376,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
2,11,2554315576201241600,2554315576201241600,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
2,10,2554315576202454528,2554315576202454528,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
10,11,2554315576213528576,2554315576213528576,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
4,7,2554315576249038336,2554315576249038336,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,SB,SB
7,10,2554315576259075584,2554315576259075584,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
10,11,2554315576259932160,2554315576259932160,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
7,10,2554315576260687360,2554315576260687360,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
2,11,2554315576260865024,2554315576260865024,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
2,7,2554315576266279936,2554315576266279936,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
7,9,2554315576266990080,2554315576266990080,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,C'
9,11,2554315576267617792,2554315576267617792,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,SB,SB
2,10,2554315576269588992,2554315576269588992,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
1,7,2554315576273628160,2554315576273628160,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,SB,SB
7,10,2554315576274295296,2554315576274295296,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
2,11,2554315576281362944,2554315576281362944,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
9,10,2554315576285996032,2554315576285996032,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,SB,SB
2,7,2554315576288875520,2554315576288875520,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
7,11,2554315576292056576,2554315576292056576,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
2,10,2554315576294514176,2554315576294514176,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
7,11,2554315576295618048,2554315576295618048,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
2,10,2554315576296895488,2554315576296895488,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
7,10,2554315576298757632,2554315576298757632,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,C,VV
10,11,2554315576305155584,2554315576305155584,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
2,11,2554315576306884096,2554315576306884096,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,C,VV
2,7,2554315576310519808,2554315576310519808,2025-06-18--17h-40m-15s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
10,11,2554315576314377216,2554315576314377216,2025-06-18--17h-40m-14s,H,H,2025-06-18--17h-39m-47s,DB_V,VV
